gene_id,gene_symbol,ncbi_gene_id,official_full_name,description,organism,chromosome,map_location,aliases,summary,source_database,source_url,remark,collection_method,evidence_scope
G011,PTEN,5728,phosphatase and tensin homolog,phosphatase and tensin homolog,Homo sapiens,10,10q23.31,"10q23del, BZS, CWS1, DEC, GLM2, MHAM, MMAC1, PTEN1, PTENbeta, PTENgama, TEP1","This gene was identified as a tumor suppressor that is mutated in a large number of cancers at high frequency. The protein encoded by this gene is a phosphatidylinositol-3,4,5-trisphosphate 3-phosphatase. It contains a tensin like domain as well as a catalytic domain similar to that of the dual specificity protein tyrosine phosphatases. Unlike most of the protein tyrosine phosphatases, this protein preferentially dephosphorylates phosphoinositide substrates. It negatively regulates intracellular levels of phosphatidylinositol-3,4,5-trisphosphate in cells and functions as a tumor suppressor by negatively regulating AKT/PKB signaling pathway. The use of a non-canonical (CUG) upstream initiation site produces a longer isoform that initiates translation with a leucine, and is thought to be preferentially associated with the mitochondrial inner membrane. This longer isoform may help regulate energy metabolism in the mitochondria. A pseudogene of this gene is found on chromosome 9. Alternative splicing and the use of multiple translation start codons results in multiple transcript variants encoding different isoforms. [provided by RefSeq, Feb 2015]",NCBI Gene,https://www.ncbi.nlm.nih.gov/gene/5728,,通过 NCBI Gene 接口获取,基因基础信息
G012,SOX2,6657,SRY-box transcription factor 2,SRY-box transcription factor 2,Homo sapiens,3,3q26.33,"ANOP3, MCOPS3","This intronless gene encodes a member of the SRY-related HMG-box (SOX) family of transcription factors involved in the regulation of embryonic development and in the determination of cell fate. The product of this gene is required for stem-cell maintenance in the central nervous system, and also regulates gene expression in the stomach. Mutations in this gene have been associated with optic nerve hypoplasia and with syndromic microphthalmia, a severe form of structural eye malformation. This gene lies within an intron of another gene called SOX2 overlapping transcript (SOX2OT). [provided by RefSeq, Jul 2008]",NCBI Gene,https://www.ncbi.nlm.nih.gov/gene/6657,,通过 NCBI Gene 接口获取,基因基础信息
G013,HES1,3280,hes family bHLH transcription factor 1,hes family bHLH transcription factor 1,Homo sapiens,3,3q29,"HES-1, HHL, HRY, bHLHb39","This protein belongs to the basic helix-loop-helix family of transcription factors. It is a transcriptional repressor of genes that require a bHLH protein for their transcription. The protein has a particular type of basic domain that contains a helix interrupting protein that binds to the N-box rather than the canonical E-box. [provided by RefSeq, Jul 2008]",NCBI Gene,https://www.ncbi.nlm.nih.gov/gene/3280,,通过 NCBI Gene 接口获取,基因基础信息
G014,CHGA,1113,chromogranin A,chromogranin A,Homo sapiens,14,14q32.12,"CGA, PHE5, PHES","The protein encoded by this gene is a member of the chromogranin/secretogranin family of neuroendocrine secretory proteins. It is found in secretory vesicles of neurons and endocrine cells. This gene product is a precursor to three biologically active peptides; vasostatin, pancreastatin, and parastatin. These peptides act as autocrine or paracrine negative modulators of the neuroendocrine system. Two other peptides, catestatin and chromofungin, have antimicrobial activity and antifungal activity, respectively. Two transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Sep 2014]",NCBI Gene,https://www.ncbi.nlm.nih.gov/gene/1113,,通过 NCBI Gene 接口获取,基因基础信息
G015,NCAM1,4684,neural cell adhesion molecule 1,neural cell adhesion molecule 1,Homo sapiens,11,11q23.2,"CD56, MSK39, NCAM","This gene encodes a cell adhesion protein which is a member of the immunoglobulin superfamily. The encoded protein is involved in cell-to-cell interactions as well as cell-matrix interactions during development and differentiation. The encoded protein plays a role in the development of the nervous system by regulating neurogenesis, neurite outgrowth, and cell migration. This protein is also involved in the expansion of T lymphocytes, B lymphocytes and natural killer (NK) cells which play an important role in immune surveillance. This protein plays a role in signal transduction by interacting with fibroblast growth factor receptors, N-cadherin and other components of the extracellular matrix and by triggering signalling cascades involving FYN-focal adhesion kinase (FAK), mitogen-activated protein kinase (MAPK), and phosphatidylinositol 3-kinase (PI3K). One prominent isoform of this gene, cell surface molecule CD56, plays a role in several myeloproliferative disorders such as acute myeloid leukemia and differential expression of this gene is associated with differential disease progression. For example, increased expression of CD56 is correlated with lower survival in acute myeloid leukemia patients whereas increased severity of COVID-19 is correlated with decreased abundance of CD56-expressing NK cells in peripheral blood. Alternative splicing results in multiple transcript variants encoding distinct protein isoforms. [provided by RefSeq, Aug 2020]",NCBI Gene,https://www.ncbi.nlm.nih.gov/gene/4684,,通过 NCBI Gene 接口获取,基因基础信息
G016,INSM1,3642,INSM transcriptional repressor 1,INSM transcriptional repressor 1,Homo sapiens,20,20p11.23,"IA-1, IA1","Insulinoma-associated 1 (INSM1) gene is intronless and encodes a protein containing both a zinc finger DNA-binding domain and a putative prohormone domain. This gene is a sensitive marker for neuroendocrine differentiation of human lung tumors. [provided by RefSeq, Jul 2008]",NCBI Gene,https://www.ncbi.nlm.nih.gov/gene/3642,,通过 NCBI Gene 接口获取,基因基础信息
G017,SYP,6855,synaptophysin,synaptophysin,Homo sapiens,X,Xp11.23,"MRX96, MRXSYP, XLID96","This gene encodes an integral membrane protein of small synaptic vesicles in brain and endocrine cells. The protein also binds cholesterol and is thought to direct targeting of vesicle-associated membrane protein 2 (synaptobrevin) to intracellular compartments. Mutations in this gene are associated with an X-linked form of cognitive disability. [provided by RefSeq, Jul 2017]",NCBI Gene,https://www.ncbi.nlm.nih.gov/gene/6855,,通过 NCBI Gene 接口获取,基因基础信息
G018,ENO2,2026,enolase 2,enolase 2,Homo sapiens,12,12p13.31,"HEL-S-279, NSE","This gene encodes one of the three enolase isoenzymes found in mammals. This isoenzyme, a homodimer, is found in mature neurons and cells of neuronal origin. A switch from alpha enolase to gamma enolase occurs in neural tissue during development in rats and primates. [provided by RefSeq, Jul 2008]",NCBI Gene,https://www.ncbi.nlm.nih.gov/gene/2026,,通过 NCBI Gene 接口获取,基因基础信息
G019,DLL3,10683,delta like canonical Notch ligand 3,delta like canonical Notch ligand 3,Homo sapiens,19,19q13.2,SCDO1,"This gene encodes a member of the delta protein ligand family. This family functions as Notch ligands that are characterized by a DSL domain, EGF repeats, and a transmembrane domain. Mutations in this gene cause autosomal recessive spondylocostal dysostosis 1. Two transcript variants encoding distinct isoforms have been identified for this gene. [provided by RefSeq, Jul 2008]",NCBI Gene,https://www.ncbi.nlm.nih.gov/gene/10683,,通过 NCBI Gene 接口获取,基因基础信息
G020,BCL2,596,BCL2 apoptosis regulator,BCL2 apoptosis regulator,Homo sapiens,18,18q21.33,"Bcl-2, PPP1R50","This gene encodes an integral outer mitochondrial membrane protein that blocks the apoptotic death of some cells such as lymphocytes. Constitutive expression of BCL2, such as in the case of translocation of BCL2 to Ig heavy chain locus, is thought to be the cause of follicular lymphoma. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Feb 2016]",NCBI Gene,https://www.ncbi.nlm.nih.gov/gene/596,,通过 NCBI Gene 接口获取,基因基础信息
G021,EZH2,2146,enhancer of zeste 2 polycomb repressive complex 2 subunit,enhancer of zeste 2 polycomb repressive complex 2 subunit,Homo sapiens,7,7q36.1,"ENX-1, ENX1, EZH2b, KMT6, KMT6A, WVS, WVS2","This gene encodes a member of the Polycomb-group (PcG) family. PcG family members form multimeric protein complexes, which are involved in maintaining the transcriptional repressive state of genes over successive cell generations. This protein associates with the embryonic ectoderm development protein, the VAV1 oncoprotein, and the X-linked nuclear protein. This protein may play a role in the hematopoietic and central nervous systems. Multiple alternatively splcied transcript variants encoding distinct isoforms have been identified for this gene. [provided by RefSeq, Feb 2011]",NCBI Gene,https://www.ncbi.nlm.nih.gov/gene/2146,,通过 NCBI Gene 接口获取,基因基础信息
G022,AURKA,6790,aurora kinase A,aurora kinase A,Homo sapiens,20,20q13.2,"AIK, ARK1, AURA, BTAK, PPP1R47, STK15, STK6, STK7","The protein encoded by this gene is a cell cycle-regulated kinase that appears to be involved in microtubule formation and/or stabilization at the spindle pole during chromosome segregation. The encoded protein is found at the centrosome in interphase cells and at the spindle poles in mitosis. This gene may play a role in tumor development and progression. A processed pseudogene of this gene has been found on chromosome 1, and an unprocessed pseudogene has been found on chromosome 10. Multiple transcript variants encoding the same protein have been found for this gene. [provided by RefSeq, Jul 2008]",NCBI Gene,https://www.ncbi.nlm.nih.gov/gene/6790,,通过 NCBI Gene 接口获取,基因基础信息
G023,SLFN11,91607,schlafen family member 11,schlafen family member 11,Homo sapiens,17,17q12,SLFN8/9,"Enables ATP hydrolysis activity and tRNA binding activity. Involved in several processes, including defense response to virus; negative regulation of G1/S transition of mitotic cell cycle; and replication fork arrest. Located in cytosol; nucleoplasm; and site of DNA damage. [provided by Alliance of Genome Resources, Jul 2025]",NCBI Gene,https://www.ncbi.nlm.nih.gov/gene/91607,,通过 NCBI Gene 接口获取,基因基础信息
G024,PARP1,142,poly(ADP-ribose) polymerase 1,poly(ADP-ribose) polymerase 1,Homo sapiens,1,1q42.12,"ADPRT, ADPRT 1, ADPRT1, ARTD1, PARP, PARP-1, PARS, PPOL, Poly-PARP, pADPRT-1","This gene encodes a chromatin-associated enzyme, poly(ADP-ribosyl)transferase, which modifies various nuclear proteins by poly(ADP-ribosyl)ation. The modification is dependent on DNA and is involved in the regulation of various important cellular processes such as differentiation, proliferation, and tumor transformation and also in the regulation of the molecular events involved in the recovery of cell from DNA damage. In addition, this enzyme may be the site of mutation in Fanconi anemia, and may participate in the pathophysiology of type I diabetes. [provided by RefSeq, Jul 2008]",NCBI Gene,https://www.ncbi.nlm.nih.gov/gene/142,,通过 NCBI Gene 接口获取,基因基础信息
G025,MCL1,4170,"MCL1 apoptosis regulator, BCL2 family member","MCL1 apoptosis regulator, BCL2 family member",Homo sapiens,1,1q21.2,"BCL2L3, EAT, MCL1-ES, MCL1L, MCL1S, Mcl-1, TM, bcl2-L-3, mcl1/EAT","This gene encodes an anti-apoptotic protein, which is a member of the Bcl-2 family. Alternative splicing results in multiple transcript variants. The longest gene product (isoform 1) enhances cell survival by inhibiting apoptosis while the alternatively spliced shorter gene products (isoform 2 and isoform 3) promote apoptosis and are death-inducing. [provided by RefSeq, Oct 2010]",NCBI Gene,https://www.ncbi.nlm.nih.gov/gene/4170,,通过 NCBI Gene 接口获取,基因基础信息
G026,MKI67,4288,marker of proliferation Ki-67,marker of proliferation Ki-67,Homo sapiens,10,10q26.2,"KIA, MIB-, MIB-1, PPP1R105","Enables RNA binding activity and molecular condensate scaffold activity. Involved in chromosome segregation and regulation of mitotic nuclear division. Located in chromosome; nucleolus; and nucleoplasm. Is active in condensed chromosome. Implicated in several diseases, including Crohn's disease; colorectal cancer; endocrine gland cancer (multiple); graft-versus-host disease; and human immunodeficiency virus infectious disease. Biomarker of several diseases, including Barrett's esophagus; autoimmune disease of musculoskeletal system (multiple); endocrine gland cancer (multiple); gastrointestinal system cancer (multiple); and lung cancer (multiple). [provided by Alliance of Genome Resources, Jul 2025]",NCBI Gene,https://www.ncbi.nlm.nih.gov/gene/4288,,通过 NCBI Gene 接口获取,基因基础信息
G027,TOP2A,7153,DNA topoisomerase II alpha,DNA topoisomerase II alpha,Homo sapiens,17,17q21.2,"TOP2, TOP2alpha, TOPIIA, TP2A","This gene encodes a DNA topoisomerase, an enzyme that controls and alters the topologic states of DNA during transcription. This nuclear enzyme is involved in processes such as chromosome condensation, chromatid separation, and the relief of torsional stress that occurs during DNA transcription and replication. It catalyzes the transient breaking and rejoining of two strands of duplex DNA which allows the strands to pass through one another, thus altering the topology of DNA. Two forms of this enzyme exist as likely products of a gene duplication event. The gene encoding this form, alpha, is localized to chromosome 17 and the beta gene is localized to chromosome 3. The gene encoding this enzyme functions as the target for several anticancer agents and a variety of mutations in this gene have been associated with the development of drug resistance. Reduced activity of this enzyme may also play a role in ataxia-telangiectasia. [provided by RefSeq, Jul 2010]",NCBI Gene,https://www.ncbi.nlm.nih.gov/gene/7153,,通过 NCBI Gene 接口获取,基因基础信息
G028,CDK6,1021,cyclin dependent kinase 6,cyclin dependent kinase 6,Homo sapiens,7,7q21.2,"MCPH12, PLSTIRE","The protein encoded by this gene is a member of the CMGC family of serine/threonine protein kinases. This kinase is a catalytic subunit of the protein kinase complex that is important for cell cycle G1 phase progression and G1/S transition. The activity of this kinase first appears in mid-G1 phase, which is controlled by the regulatory subunits including D-type cyclins and members of INK4 family of CDK inhibitors. This kinase, as well as CDK4, has been shown to phosphorylate, and thus regulate the activity of, tumor suppressor protein Rb. Altered expression of this gene has been observed in multiple human cancers. A mutation in this gene resulting in reduced cell proliferation, and impaired cell motility and polarity, and has been identified in patients with primary microcephaly. [provided by RefSeq, Aug 2017]",NCBI Gene,https://www.ncbi.nlm.nih.gov/gene/1021,,通过 NCBI Gene 接口获取,基因基础信息
G029,CCNE1,898,cyclin E1,cyclin E1,Homo sapiens,19,19q12,"CCNE, pCCNE1","The protein encoded by this gene belongs to the highly conserved cyclin family, whose members are characterized by a dramatic periodicity in protein abundance through the cell cycle. Cyclins function as regulators of CDK kinases. Different cyclins exhibit distinct expression and degradation patterns which contribute to the temporal coordination of each mitotic event. This cyclin forms a complex with and functions as a regulatory subunit of CDK2, whose activity is required for cell cycle G1/S transition. This protein accumulates at the G1-S phase boundary and is degraded as cells progress through S phase. Overexpression of this gene has been observed in many tumors, which results in chromosome instability, and thus may contribute to tumorigenesis. This protein was found to associate with, and be involved in, the phosphorylation of NPAT protein (nuclear protein mapped to the ATM locus), which participates in cell-cycle regulated histone gene expression and plays a critical role in promoting cell-cycle progression in the absence of pRB. [provided by RefSeq, Apr 2016]",NCBI Gene,https://www.ncbi.nlm.nih.gov/gene/898,,通过 NCBI Gene 接口获取,基因基础信息
G030,CD274,29126,CD274 molecule,CD274 molecule,Homo sapiens,9,9p24.1,"ADMIO5, B7-H, B7H1, PD-L1, PDCD1L1, PDCD1LG1, PDL1, hPD-L1","This gene encodes an immune inhibitory receptor ligand that is expressed by hematopoietic and non-hematopoietic cells, such as T cells and B cells and various types of tumor cells. The encoded protein is a type I transmembrane protein that has immunoglobulin V-like and C-like domains. Interaction of this ligand with its receptor inhibits T-cell activation and cytokine production. During infection or inflammation of normal tissue, this interaction is important for preventing autoimmunity by maintaining homeostasis of the immune response. In tumor microenvironments, this interaction provides an immune escape for tumor cells through cytotoxic T-cell inactivation. Expression of this gene in tumor cells is considered to be prognostic in many types of human malignancies, including colon cancer and renal cell carcinoma. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Sep 2015]",NCBI Gene,https://www.ncbi.nlm.nih.gov/gene/29126,,通过 NCBI Gene 接口获取,基因基础信息
G031,HLA-DRA,3122,"major histocompatibility complex, class II, DR alpha","major histocompatibility complex, class II, DR alpha",Homo sapiens,6,6p21.32,HLA-DRA1,"HLA-DRA is one of the HLA class II alpha chain paralogues. This class II molecule is a heterodimer consisting of an alpha and a beta chain, both anchored in the membrane. This molecule is expressed on the surface of various antigen presenting cells such as B lymphocytes, dendritic cells, and monocytes/macrophages, and plays a central role in the immune system and response by presenting peptides derived from extracellular proteins, in particular, pathogen-derived peptides to T cells. The alpha chain is approximately 33-35 kDa and its gene contains 5 exons. Exon 1 encodes the leader peptide, exons 2 and 3 encode the two extracellular domains, and exon 4 encodes the transmembrane domain and the cytoplasmic tail. DRA does not have polymorphisms in the peptide binding part and acts as the sole alpha chain for DRB1, DRB3, DRB4 and DRB5. [provided by RefSeq, Aug 2020]",NCBI Gene,https://www.ncbi.nlm.nih.gov/gene/3122,,通过 NCBI Gene 接口获取,基因基础信息
